ID_CREDITO,USUARIO
98343,LMANOSALVAS
90293,EGUERRA
88808,MARCOS
98457,AMOLINA
100126,DARODRIGUEZ
97147,KCANCHIG
96161,GLOPEZ
96125,FLLERENA
99193,LMANOSALVAS
99704,EGUERRA
93754,MARCOS
93174,AMOLINA
99272,DARODRIGUEZ
98402,KCANCHIG
96665,GLOPEZ
103041,FLLERENA
90592,LMANOSALVAS
102424,EGUERRA
103867,MARCOS
101745,AMOLINA
100595,DARODRIGUEZ
98382,KCANCHIG
98027,GLOPEZ
91016,FLLERENA
65184,LMANOSALVAS
104437,EGUERRA
101118,MARCOS
96314,AMOLINA
90748,DARODRIGUEZ
98278,KCANCHIG
96925,GLOPEZ
87365,FLLERENA
88024,LMANOSALVAS
